ID,long,lat
1,106.88667,-6.13724
2,106.88667,-6.12569
3,106.88667,-6.11414
4,106.88667,-6.10260
5,106.89667,-6.37395
6,106.89667,-6.36240
7,106.89667,-6.35086
8,106.89667,-6.33931
9,106.89667,-6.32776
10,106.89667,-6.31621
11,106.89667,-6.30467
12,106.89667,-6.29312
13,106.89667,-6.28157
14,106.89667,-6.27003
15,106.89667,-6.25848
16,106.89667,-6.24693
17,106.89667,-6.23539
18,106.89667,-6.22384
19,106.68667,-6.17188
20,106.89667,-6.21229
21,106.68667,-6.16033
22,106.89667,-6.20074
23,106.68667,-6.14878
24,106.89667,-6.18920
25,106.68667,-6.13724
26,106.89667,-6.17765
27,106.68667,-6.12569
28,106.89667,-6.16610
29,106.68667,-6.11414
30,106.89667,-6.15456
31,106.68667,-6.10260
32,106.89667,-6.14301
33,106.89667,-6.13146
34,106.89667,-6.11992
35,106.89667,-6.10837
36,106.89667,-6.09682
37,106.90667,-6.37972
38,106.90667,-6.36818
39,106.90667,-6.35663
40,106.90667,-6.34508
41,106.90667,-6.33354
42,106.90667,-6.32199
43,106.90667,-6.31044
44,106.90667,-6.29889
45,106.90667,-6.28735
46,106.90667,-6.27580
47,106.90667,-6.26425
48,106.90667,-6.25271
49,106.90667,-6.24116
50,106.69667,-6.17765
51,106.90667,-6.22961
52,106.69667,-6.16610
53,106.90667,-6.21807
54,106.69667,-6.15456
55,106.90667,-6.20652
56,106.69667,-6.14301
57,106.90667,-6.19497
58,106.69667,-6.13146
59,106.90667,-6.18342
60,106.69667,-6.11992
61,106.90667,-6.17188
62,106.69667,-6.10837
63,106.90667,-6.16033
64,106.69667,-6.09682
65,106.90667,-6.14878
66,106.90667,-6.13724
67,106.90667,-6.12569
68,106.90667,-6.11414
69,106.90667,-6.10260
70,106.91667,-6.36240
71,106.91667,-6.35086
72,106.91667,-6.33931
73,106.91667,-6.32776
74,106.91667,-6.31621
75,106.91667,-6.30467
76,106.91667,-6.29312
77,106.91667,-6.28157
78,106.91667,-6.25848
79,106.91667,-6.24693
80,106.91667,-6.23539
81,106.70667,-6.18342
82,106.91667,-6.22384
83,106.70667,-6.17188
84,106.91667,-6.21229
85,106.70667,-6.16033
86,106.91667,-6.20074
87,106.70667,-6.14878
88,106.91667,-6.18920
89,106.70667,-6.13724
90,106.91667,-6.17765
91,106.70667,-6.12569
92,106.91667,-6.16610
93,106.70667,-6.11414
94,106.91667,-6.15456
95,106.70667,-6.10260
96,106.91667,-6.14301
