,ID,lokasi,popularity,nightlife_index,restaurant count,top_cuisines1,top_cuisines2,top_cuisines3,top_cuisines4,top_cuisines5
0,1,Sunter,5.0,4.67,9,Indonesian,Coffee,Chinese,Desserts,Beverages
1,2,Tanjung Priok,2.13,0.55,9,Indonesian,Seafood,Coffee,Chinese,Bakmi
2,3,Tanjung Priok,2.13,0.55,9,Indonesian,Seafood,Coffee,Chinese,Bakmi
3,4,Tanjung Priok,2.13,0.55,9,Indonesian,Seafood,Coffee,Chinese,Bakmi
4,5,Cibubur,2.61,0.0,9,Indonesian,Coffee,Western,Desserts,Bakmi
5,6,Cibubur,2.61,0.0,9,Indonesian,Coffee,Western,Desserts,Bakmi
6,7,Cibubur,2.61,0.0,9,Indonesian,Coffee,Western,Desserts,Bakmi
7,8,Cipayung,2.18,0.0,9,Coffee,Indonesian,Beverages,Fusion,Betawi
8,9,Cipayung,2.18,0.0,9,Coffee,Indonesian,Beverages,Fusion,Betawi
9,10,Cipayung,2.18,0.0,9,Coffee,Indonesian,Beverages,Fusion,Betawi
10,11,Taman Mini,2.77,0.0,9,Indonesian,Coffee,Jawa,Fast Food,Beverages
11,12,Pinang Ranti,3.36,0.0,9,Indonesian,Beverages,Coffee,Fast Food,Desserts
12,13,Pinang Ranti,3.36,0.0,9,Indonesian,Beverages,Coffee,Fast Food,Desserts
13,14,Makasar,1.97,0.04,9,Coffee,Cafe,Indonesian,Tea,Snacks
14,15,Makasar,1.97,0.04,9,Coffee,Cafe,Indonesian,Tea,Snacks
15,16,Kalimalang,3.36,0.16,9,Indonesian,Coffee,Jawa,Bakery,Bakmi
16,17,Pondok Bambu,3.65,0.08,9,Coffee,Beverages,Indonesian,Desserts,Street Food
17,18,Pondok Bambu,3.65,0.08,9,Coffee,Beverages,Indonesian,Desserts,Street Food
18,19,Cipondoh,2.43,0.0,9,Indonesian,Coffee,Fast Food,Jawa,Bakmi
19,20,Jatinegara,3.7,0.2,9,Indonesian,Coffee,Desserts,Fast Food,Beverages
20,21,Cipondoh,3.78,0.39,9,Coffee,Indonesian,Desserts,Beverages,Bakery
21,22,Pulo Gadung,3.96,0.66,9,Indonesian,Coffee,Chinese,Desserts,Jawa
22,23,Benda,3.78,0.39,9,Coffee,Indonesian,Desserts,Beverages,Bakery
23,24,Pulo Gadung,3.96,0.66,9,Indonesian,Coffee,Chinese,Desserts,Jawa
24,25,Benda,2.58,0.04,9,Bakery,Coffee,Desserts,Indonesian,Tea
25,26,Pulo Gadung,5.0,4.67,9,Indonesian,Coffee,Chinese,Desserts,Beverages
26,27,Benda,2.58,0.04,9,Bakery,Coffee,Desserts,Indonesian,Tea
27,28,Kelapa Gading,5.0,4.67,9,Indonesian,Coffee,Chinese,Desserts,Beverages
28,29,Benda,2.58,0.04,9,Bakery,Coffee,Desserts,Indonesian,Tea
29,30,Kelapa Gading,5.0,4.67,9,Indonesian,Coffee,Chinese,Desserts,Beverages
30,31,Benda,2.58,0.04,9,Bakery,Coffee,Desserts,Indonesian,Tea
31,32,Kelapa Gading,5.0,4.67,9,Indonesian,Coffee,Chinese,Desserts,Beverages
32,33,Koja,2.43,0.0,9,Indonesian,Fast Food,Jawa,Beverages,Coffee
33,34,Koja,2.43,0.0,9,Indonesian,Fast Food,Jawa,Beverages,Coffee
34,35,Tanjung Priok,2.43,0.0,9,Indonesian,Fast Food,Jawa,Beverages,Coffee
35,36,Tanjung Priok,2.43,0.0,9,Indonesian,Fast Food,Jawa,Beverages,Coffee
36,37,Cibubur,2.61,0.0,9,Indonesian,Coffee,Western,Desserts,Bakmi
37,38,Cibubur,2.61,0.0,9,Indonesian,Coffee,Western,Desserts,Bakmi
38,39,Cibubur,2.61,0.0,9,Indonesian,Coffee,Western,Desserts,Bakmi
39,40,Cipayung,2.18,0.0,9,Coffee,Indonesian,Beverages,Fusion,Betawi
40,41,Cipayung,2.18,0.0,9,Coffee,Indonesian,Beverages,Fusion,Betawi
41,42,Cipayung,2.18,0.0,9,Coffee,Indonesian,Beverages,Fusion,Betawi
42,43,Cipayung,2.18,0.0,9,Coffee,Indonesian,Beverages,Fusion,Betawi
43,44,Taman Mini,2.77,0.0,9,Indonesian,Coffee,Jawa,Fast Food,Beverages
44,45,Pinang Ranti,1.97,0.04,9,Coffee,Cafe,Indonesian,Tea,Snacks
45,46,Pondok Gede,1.97,0.04,9,Coffee,Cafe,Indonesian,Tea,Snacks
46,47,Pondok Gede,1.97,0.04,9,Coffee,Cafe,Indonesian,Tea,Snacks
47,48,Pondok Gede,3.36,0.16,9,Indonesian,Coffee,Jawa,Bakery,Bakmi
48,49,Kalimalang,3.65,0.08,9,Coffee,Beverages,Indonesian,Desserts,Street Food
49,50,Cipondoh,2.43,0.0,9,Indonesian,Coffee,Fast Food,Jawa,Bakmi
50,51,Pondok Bambu,3.65,0.08,9,Coffee,Beverages,Indonesian,Desserts,Street Food
51,52,Cipondoh,2.43,0.0,9,Indonesian,Coffee,Fast Food,Jawa,Bakmi
52,53,Klender,3.7,0.2,9,Indonesian,Coffee,Desserts,Fast Food,Beverages
53,54,Daan Mogot,3.78,0.39,9,Coffee,Indonesian,Desserts,Beverages,Bakery
54,55,Klender,3.7,0.2,9,Indonesian,Coffee,Desserts,Fast Food,Beverages
55,56,Daan Mogot,3.78,0.39,9,Coffee,Indonesian,Desserts,Beverages,Bakery
56,57,Pulo Gadung,3.96,0.66,9,Indonesian,Coffee,Chinese,Desserts,Jawa
57,58,Benda,4.06,2.78,9,Indonesian,Chinese,Bakmi,Coffee,Beverages
58,59,Pulo Gadung,5.0,4.67,9,Indonesian,Coffee,Chinese,Desserts,Beverages
59,60,Benda,4.06,2.78,9,Indonesian,Chinese,Bakmi,Coffee,Beverages
60,61,Kelapa Gading,5.0,4.67,9,Indonesian,Coffee,Chinese,Desserts,Beverages
61,62,Benda,2.58,0.04,9,Bakery,Coffee,Desserts,Indonesian,Tea
62,63,Kelapa Gading,5.0,4.67,9,Indonesian,Coffee,Chinese,Desserts,Beverages
63,64,Benda,2.58,0.04,9,Bakery,Coffee,Desserts,Indonesian,Tea
64,65,Kelapa Gading,5.0,4.67,9,Indonesian,Coffee,Chinese,Desserts,Beverages
65,66,Kelapa Gading,5.0,4.67,9,Indonesian,Coffee,Chinese,Desserts,Beverages
